11:43:19.013 -> Light: 836 | Moving Servo to Position: 93
11:43:19.195 -> Light: 834 | Moving Servo to Position: 94
11:43:19.308 -> Light: 833 | Moving Servo to Position: 95
11:43:19.471 -> Light: 831 | Moving Servo to Position: 96
11:43:19.607 -> Light: 830 | Moving Servo to Position: 97
11:43:19.762 -> Light: 829 | Moving Servo to Position: 98
11:43:19.906 -> Light: 826 | Moving Servo to Position: 99
11:43:20.050 -> Light: 816 | Moving Servo to Position: 100
11:43:20.197 -> Light: 823 | Moving Servo to Position: 101
11:43:20.376 -> Light: 821 | Moving Servo to Position: 102
11:43:20.520 -> Light: 819 | Moving Servo to Position: 103
11:43:20.660 -> Light: 817 | Moving Servo to Position: 104
11:43:20.802 -> Light: 814 | Moving Servo to Position: 105
11:43:20.975 -> Light: 812 | Moving Servo to Position: 106
11:43:21.105 -> Light: 810 | Moving Servo to Position: 107
11:43:21.282 -> Light: 807 | Moving Servo to Position: 108
11:43:21.425 -> Light: 805 | Moving Servo to Position: 109
11:43:21.568 -> Light: 804 | Moving Servo to Position: 110
11:43:21.714 -> Light: 804 | Moving Servo to Position: 111
11:43:21.866 -> Light: 804 | Moving Servo to Position: 112
11:43:22.005 -> Light: 803 | Moving Servo to Position: 113
11:43:22.187 -> Light: 803 | Moving Servo to Position: 114
11:43:22.322 -> Light: 802 | Moving Servo to Position: 115
11:43:22.490 -> Light: 802 | Moving Servo to Position: 116
11:43:22.630 -> Light: 799 | Moving Servo to Position: 117
11:43:22.773 -> Light: 798 | Moving Servo to Position: 118
11:43:22.941 -> Light: 804 | Moving Servo to Position: 119
11:43:23.080 -> Light: 793 | Moving Servo to Position: 120
11:43:23.244 -> Light: 792 | Moving Servo to Position: 121
11:43:23.392 -> Light: 786 | Moving Servo to Position: 122
11:43:23.522 -> Light: 786 | Moving Servo to Position: 123
11:43:23.691 -> Light: 788 | Moving Servo to Position: 124
11:43:23.842 -> Light: 788 | Moving Servo to Position: 125
11:43:23.981 -> Light: 786 | Moving Servo to Position: 126
11:43:24.121 -> Light: 784 | Moving Servo to Position: 127
11:43:24.288 -> Light: 784 | Moving Servo to Position: 128
11:43:24.440 -> Light: 783 | Moving Servo to Position: 129
11:43:24.587 -> Light: 782 | Moving Servo to Position: 130
11:43:24.731 -> Light: 781 | Moving Servo to Position: 131
11:43:24.907 -> Light: 781 | Moving Servo to Position: 132
